attention_probs_dropout_prob,hidden_dropout_prob,Accuracy,Precision,Recall,F1
0.1,0.1,0.8575,0.8260869565217391,0.890625,0.8571428571428571
0.1,0.2,0.83625,0.7685774946921444,0.9427083333333334,0.8467836257309942
0.1,0.3,0.81875,0.750524109014675,0.9322916666666666,0.8315911730545877
0.2,0.1,0.85625,0.8077803203661327,0.9192708333333334,0.8599269183922046
0.2,0.2,0.85,0.8069767441860465,0.9036458333333334,0.8525798525798526
0.2,0.3,0.8,0.7333333333333333,0.9166666666666666,0.8148148148148148
0.3,0.1,0.84625,0.7972665148063781,0.9114583333333334,0.850546780072904
0.3,0.2,0.8075,0.7457264957264957,0.9088541666666666,0.8192488262910798
0.3,0.3,0.77875,0.7090909090909091,0.9140625,0.7986348122866894
