attention_probs_dropout_prob,hidden_dropout_prob,Accuracy,Precision,Recall,F1
0.1,0.1,0.87125,0.8452088452088452,0.8958333333333334,0.8697850821744627
0.1,0.2,0.875,0.8480392156862745,0.9010416666666666,0.8737373737373737
0.1,0.3,0.8575,0.8110599078341014,0.9166666666666666,0.8606356968215159
0.2,0.1,0.8325,0.7705627705627706,0.9270833333333334,0.8416075650118203
0.2,0.2,0.855,0.8205741626794258,0.8932291666666666,0.8553615960099751
0.2,0.3,0.845,0.7981651376146789,0.90625,0.848780487804878
0.3,0.1,0.8725,0.849009900990099,0.8932291666666666,0.8705583756345178
0.3,0.2,0.84125,0.8052256532066508,0.8828125,0.8422360248447205
0.3,0.3,0.82875,0.7567567567567568,0.9479166666666666,0.8416184971098266
