attention_probs_dropout_prob,hidden_dropout_prob,Accuracy,Precision,Recall,F1
0.1,0.1,0.835,0.8264248704663213,0.8307291666666666,0.8285714285714286
0.1,0.2,0.85,0.8333333333333334,0.859375,0.8461538461538461
0.1,0.3,0.82,0.8389830508474576,0.7734375,0.8048780487804879
0.2,0.1,0.86625,0.8560411311053985,0.8671875,0.8615782664941786
0.2,0.2,0.8425,0.8208955223880597,0.859375,0.8396946564885496
0.2,0.3,0.805,0.8294797687861272,0.7473958333333334,0.7863013698630137
0.3,0.1,0.8575,0.8552631578947368,0.8463541666666666,0.8507853403141361
0.3,0.2,0.85375,0.8329177057356608,0.8697916666666666,0.8509554140127389
0.3,0.3,0.84625,0.8372093023255814,0.84375,0.8404669260700389
