attention_probs_dropout_prob,hidden_dropout_prob,Accuracy,Precision,Recall,F1
0.1,0.1,0.8625,0.8605263157894737,0.8515625,0.856020942408377
0.1,0.2,0.8775,0.8629441624365483,0.8854166666666666,0.8740359897172236
0.1,0.3,0.89125,0.9002695417789758,0.8697916666666666,0.8847682119205298
0.2,0.1,0.9,0.874384236453202,0.9244791666666666,0.8987341772151899
0.2,0.2,0.8725,0.8596938775510204,0.8776041666666666,0.8685567010309279
0.2,0.3,0.8825,0.84688995215311,0.921875,0.8827930174563591
0.3,0.1,0.87,0.8431372549019608,0.8958333333333334,0.8686868686868687
0.3,0.2,0.87875,0.8614609571788413,0.890625,0.8758002560819462
0.3,0.3,0.85125,0.796420581655481,0.9270833333333334,0.8567990373044525
