attention_probs_dropout_prob,hidden_dropout_prob,Accuracy,Precision,Recall,F1
0.1,0.1,0.86,0.8675675675675676,0.8359375,0.8514588859416445
0.1,0.2,0.8475,0.8104265402843602,0.890625,0.8486352357320099
0.1,0.3,0.85,0.8157894736842105,0.8880208333333334,0.8503740648379052
0.2,0.1,0.8575,0.8857142857142857,0.8072916666666666,0.8446866485013624
0.2,0.2,0.835,0.78125,0.9114583333333334,0.8413461538461539
0.2,0.3,0.85,0.9049079754601227,0.7682291666666666,0.8309859154929577
0.3,0.1,0.8575,0.8609625668449198,0.8385416666666666,0.8496042216358839
0.3,0.2,0.85875,0.8312958435207825,0.8854166666666666,0.8575031525851198
0.3,0.3,0.83625,0.8033573141486811,0.8723958333333334,0.83645443196005
