attention_probs_dropout_prob,hidden_dropout_prob,Accuracy,Precision,Recall,F1
0.1,0.1,0.86125,0.8679245283018868,0.8385416666666666,0.8529801324503311
0.1,0.2,0.86625,0.850632911392405,0.875,0.8626444159178434
0.1,0.3,0.86625,0.8542199488491049,0.8697916666666666,0.8619354838709677
0.2,0.1,0.86875,0.8680738786279684,0.8567708333333334,0.8623853211009175
0.2,0.2,0.8625,0.8494897959183674,0.8671875,0.8582474226804123
0.2,0.3,0.8625,0.8459595959595959,0.8723958333333334,0.8589743589743589
0.3,0.1,0.88,0.8730569948186528,0.8776041666666666,0.8753246753246753
0.3,0.2,0.85625,0.8049886621315193,0.9244791666666666,0.8606060606060606
0.3,0.3,0.87,0.8349282296650717,0.9088541666666666,0.8703241895261845
